seq,name,link,image,price,star,review,store,site,label
0,★페이백 이벤트+판매량 BEST상품 11월 한달 최저가★삼익가구 우노 초대형 키큰 옷장/전신거울 옷장/서랍형 옷장,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=818808&searchdetail=gds_view&searchPagelist=1&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/818/818808_A1.jpg?v=20221109102858,"76,630",4.3,182,삼익가구,한샘,모던시크
1,★한샘몰단독최저가★삼익가구 우노 키큰 옷장 800(행거형B타입),https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=817879&searchdetail=gds_view&searchPagelist=4&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/817/817879_A1.jpg?v=20221006170503,"129,000",0,0,삼익가구,한샘,모던시크
2,★11월 한정 단독쿠폰 이벤트★ 동서가구 홈데코 멀티수납 Q 벙커침대 (14종 택1),https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=584706&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/584/584706_A1.jpg?v=20221101143119,"638,100",4.3,15,동서가구,한샘,레트로
3,★한샘몰단독최저가★[삼익가구]코넬 LED조명 화장대 세트(스툴포함),https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=629335&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/629/629335_A1.jpg?v=20221006170503,"219,000",3.6,12,삼익가구,한샘,북유럽
4,노프레임 아치형 전신거울 2size,https://ohou.se/productions/428333/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165387313812045424.JPG?gif=1&w=360&h=360&c=c&q=0.8&webp=1,67320,4.7,2921,어썸프레임,오늘의 집,모던시크
5,★2021NEW★[삼익가구]카모메 1200 높은 주방수납장 거실수납장,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=845704&searchdetail=gds_view&searchPagelist=4&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/845/845704_A1.jpg?v=20210825110334,"129,000",4.3,3,삼익가구,한샘,모던시크
6,★단독특가★[삼익가구]유니언 저상형 와이드 퀸/킹 가죽 침대,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=616832&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/616/616832_A1.jpg?v=20221006170503,"379,000",4.8,6,삼익가구,한샘,모던시크
7,라운드 접이식 테이블 3colors/3size,https://ohou.se/productions/181457/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165155472092703336.jpg?gif=1&w=360&h=360&c=c&q=0.8&webp=1,16900,4.7,10586,메종드꼼마,오늘의 집,북유럽
8,[단독특가] 루이스 3단 빅서랍 무헤드 수납침대 SS/Q,https://ohou.se/productions/335639/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/166746256085128526.jpg?gif=1&w=360&h=360&c=c&q=0.8&webp=1,94900,4.4,3946,리샘,오늘의 집,레트로
9,가구느낌 밀리바체어 아일랜드식탁의자 홈바,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=525878&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/525/525878_A1.jpg?v=20220801091337,"44,900",4.8,7,가구느낌,한샘,북유럽
